Max-Ruler,commits_count,code_churn_avg,contributors_count,contributors_experience,hunks_count,issue_tracker_issues,cbo,wmc,dit,rfc,lcom,total_methods,max_nested_blocks,total_variables,total_refactorings,ncloc_cloc,duplicated_lines_cpd_density,comment_lines_cloc_density
0,2.0,50.0,1.0,100.0,1.5,0,5.0,12.0,1.0,17.0,0.0,7.0,2.0,8.0,1,58.0,0.0,32.55813953488372
0,14.0,4.0,3.0,61.17,2.0,0,3.0,3.0,2.0,6.0,1.0,2.0,1.0,3.0,1,20.0,0.0,58.333333333333336
0,7.0,8.0,2.0,71.76,1.0,0,3.0,9.0,2.0,5.0,0.0,4.0,1.0,1.0,2,28.0,0.0,30.0
0,3.0,14.0,2.0,89.13,1.0,34,0.0,4.0,1.0,0.0,6.0,4.0,0.0,0.0,0,7.0,0.0,80.0
0,1.0,71.0,1.0,100.0,1.0,0,3.0,7.0,1.0,9.0,4.0,4.0,1.0,3.0,0,34.0,0.0,45.16129032258064
0,2.0,27.0,1.0,100.0,1.0,0,4.0,3.0,3.0,2.0,1.0,3.0,0.0,1.0,0,18.0,0.0,60.86956521739131
0,5.0,17.0,4.0,86.73,1.0,2,3.0,7.0,2.0,16.0,1.0,3.0,3.0,8.0,0,40.0,0.0,42.028985507246375
0,4.0,30.0,1.0,100.0,1.0,0,1.0,16.0,1.0,10.0,21.0,10.0,3.0,7.0,0,68.0,0.0,29.896907216494846
0,5.0,10.0,2.0,92.54,1.0,0,1.0,3.0,1.0,2.0,0.0,2.0,0.0,1.0,3,13.0,0.0,68.29268292682927
0,2.0,39.0,2.0,60.45,12.0,4,2.0,19.0,1.0,4.0,2.0,8.0,1.0,8.0,0,60.0,0.0,0.0
0,1.0,36.0,1.0,100.0,1.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0,4.0,0.0,87.5
0,2.0,32.0,1.0,100.0,1.0,0,3.0,1.0,1.0,9.0,0.0,1.0,0.0,3.0,0,29.0,0.0,49.122807017543856
0,4.0,9.0,2.0,87.5,1.0,0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2,4.0,0.0,87.5
0,5.0,8.0,3.0,74.14,1.0,0,1.0,3.0,1.0,2.0,3.0,3.0,0.0,0.0,1,9.0,0.0,75.67567567567568
0,8.0,14.0,2.0,50.72,3.0,0,6.0,17.0,1.0,15.0,14.0,9.0,2.0,9.0,5,67.0,0.0,29.47368421052631
0,4.0,17.0,2.0,93.33,1.0,0,3.0,9.0,1.0,6.0,1.0,3.0,1.0,3.0,0,31.0,0.0,47.45762711864407
0,15.0,10.0,2.0,97.22,2.0,0,10.0,13.0,3.0,29.0,7.0,6.0,2.0,13.0,33,95.0,0.0,24.0
0,40.0,2.0,3.0,42.23,4.5,0,1.0,3.0,1.0,7.0,0.0,1.0,1.0,2.0,22,26.0,0.0,51.85185185185185
0,5.0,13.0,1.0,100.0,1.0,0,1.0,3.0,1.0,8.0,0.0,1.0,1.0,2.0,2,26.0,0.0,51.85185185185185
0,4.0,15.0,2.0,90.48,1.0,1,3.0,10.0,1.0,8.0,10.0,5.0,3.0,0.0,2,23.0,0.0,54.90196078431373
0,2.0,38.0,1.0,100.0,1.0,0,0.0,10.0,1.0,4.0,0.0,4.0,1.0,1.0,0,37.0,0.0,43.07692307692308
0,4.0,19.0,2.0,95.0,1.5,0,3.0,8.0,1.0,7.0,0.0,4.0,2.0,4.0,0,37.0,0.0,43.07692307692308
0,10.0,18.0,6.0,50.0,4.5,1,7.0,23.0,1.0,22.0,0.0,4.0,3.0,21.0,45,92.0,0.0,38.25503355704698
0,2.0,34.0,2.0,57.35,1.0,0,1.0,4.0,1.0,1.0,0.0,4.0,0.0,1.0,7,23.0,0.0,61.66666666666667
0,3.0,12.0,1.0,100.0,2.0,1,2.0,6.0,2.0,4.0,6.0,4.0,1.0,0.0,1,22.0,0.0,18.51851851851852
0,10.0,8.0,3.0,50.54,2.0,0,3.0,11.0,1.0,5.0,33.0,10.0,1.0,3.0,15,32.0,0.0,46.666666666666664
0,4.0,10.0,2.0,86.67,1.0,0,2.0,1.0,1.0,2.0,0.0,1.0,0.0,0.0,0,8.0,0.0,77.77777777777779
0,4.0,12.0,1.0,100.0,1.0,0,1.0,2.0,1.0,2.0,0.0,2.0,0.0,1.0,2,13.0,0.0,68.29268292682927
0,9.0,6.0,2.0,91.03,1.0,0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,2,14.0,0.0,66.66666666666666
0,15.0,3.0,2.0,83.65,1.0,0,3.0,2.0,1.0,1.0,1.0,2.0,0.0,1.0,2,14.0,0.0,66.66666666666666
